


1_star: A ac; nt
au_fait: A ac; APP pred
au_pair: N nc; count job
au_revoir: UH;
auction_house: N nc; com
audience_strategist: N nc; job
audio_amplifier: N nc; tool
audio_cd: N
audio_delay: N nc; solution
audio_player: N nc; prod
audio_recording: N nc; prod
audio_system: N nc; prod tool
auditor_assistant: N nc; job
auditory_artery: N nc; bodyPart
auger_bit: N nc; prod tool
augsburg_confession: NNP;
auramine_o: N;
auricular_artery: N nc; bodyPart
auricular_vein: N nc; bodyPart component
aurora_a: N;
aurora_b: N;
aurora_c: N;
australian_aborigine: NNP nc; origin per
australian_crawl: N;
australian_hare's_feet: NNS;
australian_hare's_foot: N;
austrian_schilling: N nc unit;
authoring_language: N nc; tool
authority_figure: N nc; per
auto_company: N nc; com
auto_maker: N nc; com
auto_manufacturer: N nc; com
autogenic_training: N nc; treatment
automated_reply: N nc; solution
automated_response: N nc; solution
automated_teller: N nc; tool
automatic_cardioversion: N nc; treatment
automatic_choke: N nc; tool
automatic_drive: N nc; tool
automatic_firearm: N nc; count prod tool
automatic_rifle: N nc; prod
automatic_teller: N nc; tool
automatic_transmission: N nc; tool
automobile_battery: N nc; tool
automobile_driver: N nc; job
automobile_engine: N nc; tool
automobile_mechanic: N nc; job
automotive_engineer: N nc; job
automotive_vehicle: N nc; prod
autonomic_ganglion: N nc; bodyPart
auxiliary_cell: N nc; org
auxiliary_engine: N nc; tool
auxiliary_equipment: N nc; tool
auxiliary_pump: N nc; tool
aversion_therapy: N nc; treatment
avidin_d: N;
avogadro_number: N;
avogadro's_hypothesese: NNS;
avogadro's_hypothesis: NN;
avogadro's_law: N;
avogadro's_number: N;
avoirdupois_unit: N nc unit; quant
award_winning: N nc; pt
awkward_dancing: N nc; solution
awkward_seduction: N nc; solution
awkward_silence: N nc; abstract
ax_head: N nc; component tool
axe_head: N nc; component tool
axillary_artery: N nc; bodyPart
axillary_vein: N nc; bodyPart
axle_bar: N nc; tool
azerbaijan_republic: N country nc;
azure_b: N;
azygos_vein: N nc; bodyPart
azygous_vein: N nc; bodyPart
b_battery: N nc; tool
b_horizon: N nc;
b._v: NNP;
b._v.: NNP;
baal_merodach: NNP;
baby_boomer: N nc; per
baby_buggy: N nc; prod
baby_buster: N nc; per
baby_carriage: N nc; prod tool
baby_doctor: N nc; job
baby_farmer: N nc; job
baby_minder: N nc; job
baby_oil: N nc; prod
baby_sitter: N nc; job
bachelor_girl: N nc; per
bachelor_of_arts_in_library_science: NNP;
bachelor_of_arts_in_nursing: NNP;
bachelor_of_divinity: NNP;
bachelor_of_laws: NNP;
bachelor_of_literature: NNP;
bachelor_of_medicine: NNP;
bachelor_of_music: NNP;
bachelor_of_naval_science: NNP;
bachelor_of_science_in_architecture: NNP;
bachelor_of_science_in_engineering: NNP;
bachelor_of_science: NNP;
bachelor_of_theology: NNP;
bacillus_influenzae: N nc; nt
back_burner: N nc; nt
back_country: N nc;
back_end: N nc;
back_pack: N nc; prod
back_row: N nc;
back_saw: N nc; tool
backend_engineer: N nc; job
backpacking_boot: N nc; prod tool
backroom_boy: N nc; per
backseat_driver: N nc; per
backspace_key: N nc; component tool
backup_man: N nc; per
backup_system: N nc; prod tool
bacon_cheesburger: N nc; food
bacterial_killing: N nc; pt
bacterial_toxin: N nc; nt
bad_ass: A ac; coolC emph passion
bad_assed: A ac; emph good passion
bad_azz: N nc;
bad_bish: N nc; abstract
bad_bitch: N nc; curse
bad_credit_unsecured_payday_loan: N
bad_dude: N nc; coolC
bad_egg: N nc; per
bad_esn: N nc; syn
bad_guy: N nc; per
bad_hat: N nc; per
bad_imei: N nc;
bad_lands: N nc;
bad_mf: N nc;
bad_mutha: N nc; coolC
badass_motherfucker: N nc; coolC
badminton_court: N nc;
badminton_racket: N nc; tool
badminton_racquet: N nc; tool
baffle_board: N nc; prod
bag_lady: N nc; per
bagpipe_band: N nc; orgHN
bahrain_dinar: N nc unit;
baidu_knows: NNP;
bail_out: VB vc; VI VNPPP enMove help hold vt
bait_car: N nc; solution
baked_alaska: N;
balaclava_helmet: N nc; tool
balance_wheel: N nc; component tool
balanced_anesthesia: N nc; treatment
baling_wire: N nc; tool
balint_group: N nc; treatment
ball_carrier: N nc; per
ball_cartridge: N nc; count tool
ball_club: N nc; orgHN
ball_cock: N nc; tool
ball_field: N nc;
ball_gown: N nc; tool
ball_hawk: N nc; per
ball_sweat: N nc; troubleW
ball_valve: N nc; tool
ball-and-socket_joint: N nc; tool
ball-peen_hammer: N nc; tool
ballast_resistor: N nc; tool
ballet_company: N nc; com
ballet_skirt: N nc; tool
ballistic_capsule: N nc; prod tool
ballistic_galvanometer: N nc; tool
ballistic_missile: N nc; prod
balloon_dilatation: N nc; treatment
balloon_embolization: N nc; treatment
ballot_box: N nc; tool
ballpoint_pen: N nc; tool
ballyhoo_artist: N nc; per
balsam_of_peru: N;
baltimore_oriole: N;
banana_boat: N nc; tool
banana_republic: N nc;
band_aid: N nc; tool
band_saw: N nc; tool
bank_clerk: N nc; job
bank_commissioner: N nc; job
bank_examiner: N nc; job
bank_guard: N nc; job
bank_manager: N nc; job
bank_robber: N nc; job
banking_company: N nc; com
banking_concern: N nc; com
bar_absolute: N nc unit;
bar_code: N nc; tool
bar_fly: N nc; per
bar_girl: N nc; per
bar_mask: N nc; tool
bar_printer: N nc; tool
barbados_maidenhair: N;
barbados_pride: N;
barbary_pirate: N nc; per
barbed_wire: N nc; prod tool
barber_chair: N nc; tool
barber's_itch: N nc; nt
bargain_hunter: N nc; per
barge_in: ; VI mkSound nt vac vi
barge_pole: N nc; tool
bariatric_surgery: N nc; treatment
barney_oldfield: NNP;
barrage_balloon: N nc; tool
barrel_along: ; VI vi
barrett_esophagus: N;
barrier_contraception: N nc; treatment
barrier_strip: N nc; tool
barthel_index: N nc /index+N/
barthel_indexe: N nc 'barthel_index' /index+N/
bartle_frere: NNP;
basal_ganglion: N nc; bodyPart
basal_vein: N nc; bodyPart
base_runner: N nc; per
baseball_bat: N nc; tool
baseball_cap: N nc; tool
baseball_club: N nc; com
baseball_diamond: N nc;
baseball_equipment: N nc; prod
baseball_field: N nc;
baseball_league: N nc; com
baseball_team: N nc; com
bash_in: VB vc; nt vt
basic_bitch: N nc; curse
basilar_artery: N nc; bodyPart
basilic_vein: N nc; bodyPart
basivertebral_vein: N nc; bodyPart
basket_maker: N nc; job
basketball_court: N nc; artifact
basketball_league: N nc; com
basketball_team: N nc; com
bastard_file: N nc; prod tool
bath_chair: N nc; tool
bathing_cap: N nc; tool
bathing_costume: N nc; count tool
bathing_suit: N nc; tool
bathing_trunks: NN NNS nc; Xs plu tool
bathing_tub: N nc; prod
bathroom_tissue: N nc; prod
bathtub_drain: N nc; prod
batman_live: NNP;
baton_twirler: N nc; per
batshit_crazy: A ac oral; curse
battering_ram: N nc; tool
battery_charger: N nc; prod
battery_life: N nc; abstract solution
battery_maker: N nc; comHN count
batting_glove: N nc; tool
batting_helmet: N nc; tool
battle_cruiser: N nc; tool
battle_dress: N nc; tool
battle_group: N nc; orgHN
battle_line: N nc;
battle_sight: N nc; tool
battling_traffic: N nc; nt
bawl_out: VB vc; annoy vtPer
bawling_out: VB vc; Ving abstract
bay_stater: NNP nc; origin per
bay_staters: NNP Xs;
bayesian_network: N nc; tech
bb_gun: N nc; tool
bb_shot: N nc; tool
bcg_test: N nc; tech
beach_chair: N nc; tool
beach_pancake: N nc;
beacon_fire: N nc; count
beacon_light: N nc; count
beading_plane: N nc; tool
beam_balance: N nc; prod tool
beam_scale: N nc; tool
beam_therapy: N nc; treatment
bean_caper: N nc;
bean_counter: N nc; job
bean_plant: N nc;
bear_cub: N nc;
bear_market: N nc;
bear_up: VB vc; vac win
bear's_breech: N nc;
bear's_ear: N nc;
bearer_bond: N nc; tool
bearing_rein: N nc; tool
beat_back: VB vc; attack haveContest send vac vt
beat_down: VB vc; VPP attack vac vt
beat_generation: N nc;
beat_up: VB vc; VPP attack chgForm vac vtPer
beating-reed_instrument: N nc; tool
beauty_quark: N nc;
beauty_shop: N nc; com
beauty_sleep: N nc;
beauty_spot: N nc; bodyPart count
beckman_thermometer: N nc; tool
bed_check: N nc; tech
bed_clothing: N nc; tool
bed_cover: N nc; tool
bed_covering: N nc; tool
bed_jacket: N nc; tool
bed_rest: N nc; treatment
bed_sheet: N nc; tool
bed_wetter: N nc; per
bedford_cord: N;
bedroom_community: N nc;
bedroom_furniture: N nc; tool
bedroom_set: N nc; tool
bedroom_suite: N nc; tool
bedside_manner: N nc;
bee_balm: N nc;
beef_man: N nc; job
beef_quality: N nc unit;
beef_up: VB vc; moreC vac vt
beefsteak_plant: N nc;
beer_can: N nc; tool
beer_drinker: N nc; per
beer_mug: N nc; tool
beggar-my-neighbor_policy: N nc;
beggar-my-neighbor_strategy: N nc;
beggar-my-neighbour_policy: N nc;
beggar-my-neighbour_strategy: N nc;
behavior_contracting: N nc; treatment
behavior_modification: N nc;
behind_bars: A ac; idiomPP pred
behind_time: A ac; idiomPP
bel_and_the_dragon: N;
bel_esprit: N nc; per
belaying_pin: N nc; tool
belgian_griffon: N;
belgian_shepherd: N;
belief_network: N nc; tech
bell_glass: N nc; tool
bell_grande: N nc; food
bell_jar: N nc; tool
bell_push: N nc; tool
bell_ringer: N nc; count per
bell_ringing: N nc;
bell_shape: N nc;
belladonna_plant: N nc;
bellbottom_pants: N nc; tool
belong_together: VB vc; VI vi
belt_ammunition: N nc; tool
belted_ammunition: N nc; tool
ben_sira: NNP;
bench_lathe: N nc; tool
bench_mark: N nc;
bench_press: N nc; tool
bench_vise: N nc; prod
bench_warmer: N nc; per
bench_warrant: N nc;
benedictine_order: N;
benefit_concert: N nc;
benefit_from: VB vc; pt
bengal_kino: N;
bengal_light: N;
benthic_division: N nc;
benthonic_zone: N nc;
benzene_refining: N nc; tech
bereaved_person: N nc; per
bergamot_mint: N nc;
bergamot_orange: N nc;
bermuda_chub: N;
bermuda_maidenhair: N;
bermuda_plan: N;
bermuda_rig: N;
bermuda_shorts: N nc; tool
bermudan_rig: N;
bermudian_rig: N;
berna_eli_oldfield: NNP;
best_and_greatest: NNP;
best_excuse: N nc; troubleW
