tear_duct:N nc bodyPartN perF
tear_ducts:NNS plu nc bodyPartN perF 'tear_duct'
eye_lash:N nc bodyPartN perF
eye_lashes:NNS plu nc bodyPartN perF 'eye_lash'
#1_rated: A ac; 
'emselves: ;PRP reflexive 
apolipoprotein_A1: NN nc; 
apolipoprotein_A2: NN nc; 
apolipoprotein_A5: NN nc; 
apolipoprotein_AI: NN nc; 
apolipoprotein_AII: NN nc; 
apolipoprotein_AIV: NN nc; 
apolipoprotein_AV: NN nc; 
apolipoprotein_B: NN nc; 
apolipoprotein_B-100: NN nc; 
apolipoprotein_B-48: NN nc; 
apolipoprotein_B100: NN nc; 
apolipoprotein_B48: NN nc; 
apolipoprotein_C: NN nc; 
apolipoprotein_C-I: NN nc; 
apolipoprotein_C-II: NN nc; 
apolipoprotein_C-III: NN nc; 
apolipoprotein_C-IV: NN nc; 
apolipoprotein_C1: NN nc; 
apolipoprotein_C2: NN nc; 
apolipoprotein_C3: NN nc; 
apolipoprotein_C4: NN nc; 
apolipoprotein_CI: NN nc; 
apolipoprotein_CII: NN nc; 
apolipoprotein_CIII: NN nc; 
apolipoprotein_CIV: NN nc; 
apolipoprotein_D: NN nc; 
apolipoprotein_E: NN nc; 
apolipoprotein_E1: NN nc; 
apolipoprotein_E2: NN nc; 
apolipoprotein_E3: NN nc; 
apolipoprotein_E4: NN nc; 
apolipoprotein_H: NN nc; 
apolipoprotein_M: NN nc; 
apple_canker: NN nc; 
apple_cankers: NN NNS nc;Xs n plu 'apple_canker' 
application_programs: NNS nc;tool 'application_program' 
application_site_desquamation: NN nc; 
application_site_discharge: NN nc; 
application_site_discharges: NN NNS nc;Xs n plu 'application_site_discharge' 
application_site_dryness: NN nc; 
application_site_excoriation: NN nc; 
application_site_hyperpigmentation: NN nc; 
application_site_pigmentation_change: NN nc; 
application_site_pustule: NN nc; 
application_site_scabbing: NN nc; 
applications_programmes: NNS nc;tool 'applications_programme' 
arm_guards: NNS nc;tool 'arm_guard' 
arm_weakness: NN nc; 
armor_plates: NNS nc;tool 'armor_plate' 
armour_plates: NNS nc;tool 'armour_plate' 
army_tanks: NNS nc;prod tool 'army_tank' 
around_the_clock: ;RB 
arse_about: VB vc; 
arse_around: VB vc; 
arsed_about: vc;Ven past 
arsed_around: vc;Ven past 
arses_about: vc;VBZ 
arses_around: vc;VBZ 
arsing_about: Ving; 
arsing_around: Ving; 
arterial_wall_thickening: NN nc; 
arteriosclerosis_obliterans: NN nc; 
artery_dissection: NN nc; 
artery_dissections: NN NNS nc;Xs n plu 'artery_dissection' 
artery_intima_proliferation: NN nc; 
artery_reocclusion: NN nc; 
artery_reocclusions: NN NNS nc;Xs n plu 'artery_reocclusion' 
artificial_hearts: NNS nc;prod tool 'artificial_heart' 
artificial_horizons: NNS nc;tool 'artificial_horizon' 
artificial_pacemakers: NNS nc;tool 'artificial_pacemaker' 
artillery_shells: NNS nc;tool 'artillery_shell' 
arylsulfatase_A: NN nc; 
arylsulfatase_B: NN nc; 
arylsulfatase_C: NN nc; 
as_a_bitch: ;RB curse idiomPP 
as_a_call_for: P; 
as_a_consequence: ;RB sRB 
as_a_consequence_of: P;vtt 
as_a_continuation_of: P;vtt 
as_a_cry_for: P; 

as_a_declaration_of: P;vtt 
as_a_formality: ;RB 

as_a_gesture_of: P;vtt 
as_a_gesture_toward: P; 
as_a_gesture_towards: P; 
as_a_matter_of_fact: ;RB 
as_a_metaphor_for: P; 
as_a_request_for: P; 
as_a_result_of: P;vtt 


as_a_reward_for: P; 
as_a_salute_to: P; 
as_a_solution_for: P; 

as_a_statement_of: P;vtt 
as_a_symbolic_gesture_of: P;vtt 
as_a_symbolic_gesture_toward: P; 
as_a_symbolic_gesture_towards: P; 
as_a_whole: ;RB 
as_agreed_on_by: P; 
as_agreed_upon_by: P; 
as_an_approximation_of: P;vtt 
as_an_example_of: P;vtt 
as_an_incentive_for: P; 
as_compared_to: P; 
as_do_I: ;RB cliche 
as_expected: ;RB 
as_far_as_possible: ;RB 
as_follows: ;RB 
as_fuck: ;RB 
as_hell: oral;RB 
as_if_by_magic: ;RB 
as_in: P; 
as_incentive_for: P; 
as_it_were: ;RB 
as_luck_would_have_it: ;RB 
as_mentioned_above: RP;RB idiomPP 
as_mentioned_below: RP;RB idiomPP 
as_mentioned_previously: RP;RB idiomPP 
as_much_as: A P;SC 
as_much_as_possible: ;RB 
as_needed: ;RB 
as_preparation_for: P; 
as_presented_by: P; 
as_previously_reported: RP;RB idiomPP 
as_required: ;RB 
as_reward_for: P; 
as_shit: oral;RB curse idiomPP 
as_soon_as_possible: ;RB 
as_specified_by: P; 
as_specified_in: P; 
as_stated_by: P; 
as_stated_in: P; 
as_stipulated_by: P; 
as_stipulated_in: P; 
as_suggested_by: P; 
as_suggested_in: P; 
as_the_crow_flies: ;RB 
as_told_by: P; 
as_training_for: P; 
as_translated_by: P; 
as_usual: ;RB 
as_well: ;RB 
as_worded_in: P; 
as_yet: ;RB 
asbestos_body: NN nc; 
ascites_fluid: NN nc; 
asked_out: Ved Ven past vc; 

asked_up: Ved Ven past vc; 
asking_out: Ving; 

asking_up: Ving; 
asks_out: vc;VBZ 

asks_up: vc;VBZ 
ass_hell: oral;RB curse 
assembly_programs: NNS nc;tool 'assembly_program' 
asthmatic_state: NN nc; 
asthmatic_states: NN NNS nc;Xs n plu 'asthmatic_state' 
astronomical_year: NN nc; 
astronomical_years: NN NNS nc;Xs n plu 'astronomical_year' 
astronomy_satellite: NN nc; 
astronomy_satellites: NN NNS nc;Xs n plu 'astronomy_satellite' 
astronomy_units: NNS nc;Xs n plu 'astronomy_unit' 
asymptomatic_bacteriuria: NN nc; 
asynchronous_operation: NN nc; 
asynchronous_operations: NN NNS nc;Xs n plu 'asynchronous_operation' 
asynchronous_transfer_mode: NN nc; 
asynchronous_transfer_modes: NN NNS nc;Xs n plu 'asynchronous_transfer_mode' 
at_a_rate_of: P;vtt 
at_a_speed_of: P;speed vtt 'at_speed_of' 
at_arm's_length: ;RB 
at_close_range: ;RB 
at_end_of: P;vtt 
at_first_blush: ;RB 
at_first_place: ;RB 
at_first_sight: ;RB 
at_large: A;RB idiomPP 
at_last: ;RB 
at_least: ;RB 
at_length: ;RB 
at_long_last: ;RB 
at_most: ;RB 
at_no_time: xC;RB idiomPP neM timeRB 
at_odds_with: P; 
at_once: ;RB 
at_one_point: ;RB idiomPP 
at_one_time: ;RB 
at_or_near: P; 
at_present: ;RB 
at_random: ;RB 
at_rate_of: P;rate vtt 
at_risk: ;RB con idiomPP 
at_speed_of: P;speed vtt 

at_the_back_of: P;vtt 
at_the_beginning_of: P;vtt 
at_the_behest_of: P;vtt 
at_the_bottom_of: P;vtt 
at_the_brink_of: P;vtt 
at_the_center_of: P;vtt 
at_the_completion_of: P;vtt 
at_the_controls_of: P;vtt 
at_the_feet_of: P;vtt 
at_the_foot_of: P;vtt 
at_the_front_of: P;vtt 
at_the_head_of: P;vtt 
at_the_heels_of: P;vtt 
at_the_limit_of: P;vtt 
at_the_mercy_of: P;vtt 
at_the_moment: ;RB idiomPP timeRB 
at_the_outskirts_of: P;vtt 
at_the_rate_of: P;vtt 
at_the_request_of: P;vtt 
at_the_risk_of: P;vtt 
at_the_root_of: P;vtt 
at_the_same_time: ;RB 
at_the_source_of: P;vtt 
at_the_speed_of: P;speed vtt 'at_speed_of' 
at_the_start: ;RB 
at_the_start_of: P;vtt 
at_the_time: ;RB SC timeRB 
at_the_top_of: P;vtt 


at_what_time: ;RB wh 
at_will: ;RB 
ataxia_telangiectasia: NN nc; 
ate_away: V vc;past 
ate_off: V vc;past 
ate_out: V vc;past 
ate_up: V vc;past 
ateria_gastrica_dextrae: NNS nc;Xs plu 
aterium_gastrica_dextra: NN nc; 
atherosclerotic_plaque: NN nc; 
athletic_facilities: NNS nc;Xs plu 'athletic_facilitie' 
athletic_facility: NN nc; 
athletic_field: NN nc; 
athletic_fields: NN NNS nc;Xs n plu 'athletic_field' 
athletic_socks: NNS nc;tool 'athletic_sock' 
athletic_supporter: NN nc; 
athletic_supporters: NN NNS nc;Xs n plu 'athletic_supporter' 
athletic_type: NN nc; 
athletic_types: NN NNS nc;Xs n plu 'athletic_type' 
athletic_wears: NNS nc;tool 'athletic_wear' 
atlantoaxial_subluxation: NN nc; 
atlantoaxial_subluxations: NN NNS nc;Xs n plu 'atlantoaxial_subluxation' 
atlas_vertebra: NN nc; 
atlas_vertebrae: NNS nc;Xs plu 
atom_bombs: NNS nc;tool 'atom_bomb' 
atom_smashers: NNS nc;tool 'atom_smasher' 
atomic_bombs: NNS nc;tool 'atomic_bomb' 
atomic_clocks: NNS nc;prod tool 'atomic_clock' 
atomic_cocktail: NN nc; 
atomic_cocktails: NN NNS nc;Xs n plu 'atomic_cocktail' 
atomic_energy: NN nc; 
atomic_mass: NN nc; 
atomic_mass_units: NNS nc;Xs n plu 'atomic_mass_unit' 
atomic_masses: NNS nc;Xs plu 'atomic_masse' 
atomic_number: NN nc; 
atomic_numbers: NN NNS nc;Xs n plu 'atomic_number' 
atomic_pile: NN nc; 
atomic_piles: NN NNS nc;Xs n plu 'atomic_pile' 
atomic_power: NN nc; 
