#1-rated: /top-rated/  A ac; good hyphenated
'em: /them/  PRP 'them'
'emselves: /themselves/  PRP reflexive 'themselves'
'fore: /before/  P SC
'tween: /between/  RB P
2-dimensional: /2-dimensional/  A ac; hyphenated
adrenoceptor: /adrenoceptor/  NN nc;
adrenocortex: /adrenocortex/  NN nc;
adrenocortical: /adrenocortical/  A ac;
adrenocorticotrophic: /adrenocorticotrophic/  A ac;
adrenocorticotropic: /adrenocorticotropic/  A ac;
adrenoleucodystrophy: /adrenoleucodystrophy/  NN nc;
adrenoleukodystrophy: /adrenoleukodystrophy/  NN nc;
adrenolytic: /adrenolytic/  A NN ac;
adresable: /adresable/  A ac;
adressable: /adressable/  A ac;
adscript: /adscript/  A ac;
adscripted: /adscripted/  A ac;
adsorbable: /adsorbable/  A ac;
adsorbate: /adsorbate/  NN nc;
adsorptive: /adsorptive/  A ac;
adult-literacy: /adult-literacy/  NN nc; hyphenated
adulteresses: /adulteresses/  NN nc;
adumbrative: /adumbrative/  A ac;
adust: /adust/  A ac;
advance-purchase: /advance-purchase/  A NN; hyphenated n
advanced-ceramics: /advanced-ceramics/  NN NNS Xs sgPlu; hyphenated n
advanced-materials: /advanced-materials/  A ac; hyphenated
advanced-technology: /advanced-technology/  A NN; hyphenated n


advantageousness: /advantageousness/  NN nc;
advective: /advective/  A ac;
adventitia: /adventitia/  NN nc;
adventitiae: /adventitiae/  NNS Xs nc;
adventitial: /adventitial/  A ac;
