20-20_technology:: NNP NE;com '20-20_technologies' 
advanced_simulation_technologies:: NNP NE;com 'advanced_simulation_technology' 
advanced_simulations:: NNP NE;com 'advanced_simulation_technology' 
advanced_simulations_tech:: NNP NE;com 'advanced_simulation_technology' 
advanced_simulations_technologies:: NNP NE;com 'advanced_simulation_technology' 
advanced_simulations_technology:: NNP NE;com 'advanced_simulation_technology' 
advanced_tech:: NNP NE;com 'advanced_technologies_group' 
advanced_tech_group:: NNP NE;com 'advanced_technologies_group' 
advanced_tech_international:: NNP NE;com 'advanced_technologies_group' 
advanced_technologies:: NNP NE;com 'advanced_technologies_group' 
advanced_technologies_international:: NNP NE;com 'advanced_technologies_group' 
advanced_technology:: NNP NE;com 'advanced_technologies_group' 
advanced_technology_group:: NNP NE;com 'advanced_technologies_group' 
advanced_technology_international:: NNP NE;com 'advanced_technologies_group' 
advanced_vision:: NNP NE;com 'advanced_vision_technology' 
advanced_vision_tech:: NNP NE;com 'advanced_vision_technology' 
advanced_vision_technologies:: NNP NE;com 'advanced_vision_technology' 
advertising_agency:: N nc;com 'advertise_agency' 
advertising_department:: N nc;orgHN 'advertise_department' 
advertising_division:: N nc;orgHN 'advertise_division' 
aekyung_chem:: NNP NE;com 'aekyung_specialty_chemicals' 
aekyung_chemical:: NNP NE;com 'aekyung_specialty_chemicals' 
aekyung_chemicals:: NNP NE;com 'aekyung_specialty_chemicals' 
aekyung_specialty:: NNP NE;com 'aekyung_specialty_chemicals' 
aekyung_specialty_chem:: NNP NE;com 'aekyung_specialty_chemicals' 
aekyung_specialty_chemical:: NNP NE;com 'aekyung_specialty_chemicals' 
aero_agro:: NNP NE;com 'aero_agro_chemical' 
aero_agro_chem:: NNP NE;com 'aero_agro_chemical' 
aero_agro_chemicals:: NNP NE;com 'aero_agro_chemical' 
aero_agrochem:: NNP NE;com 'aero_agro_chemical' 
aero_chem:: NNP NE;com 'aero_agro_chemical' 
aero_chemical:: NNP NE;com 'aero_agro_chemical' 
aero_chemicals:: NNP NE;com 'aero_agro_chemical' 
aerospace_tech:: NNP NE;com 'aerospace_technology' 
aerospace_technologies:: NNP NE;com 'aerospace_technology' 
af_agency_for_modeling_and_simulation:: NNP NE;org 'air_force_agency_for_modeling_and_simulation' 
af_audit_agency:: NNP NE;org 'air_force_audit_agency' 
af_center_for_environmental_excellence:: NNP NE;org 'air_force_center_for_environmental_excellence' 
af_civil_engineer_support_agency:: NNP NE;org 'air_force_civil_engineer_support_agency' 
af_communications_agency:: NNP NE;org 'air_force_communications_agency' 
af_historical_research_agency:: NNP NE;org 'air_force_historical_research_agency' 
af_history_support_office:: NNP NE;org 'air_force_history_support_office' 
af_information_warfare_center:: NNP NE;org 'air_force_information_warfare_center' 
af_inspection_agency:: NNP NE;org 'air_force_inspection_agency' 
af_institute_of_technology:: NNP NE;org 'air_force_institute_of_technology' 
af_intelligence_surveillance_and_reconnaissance:: NNP NE;org 'air_force_intelligence_surveillance_and_reconnaissance' 
af_legal_services:: NNP NE;org 'air_force_legal_services_agency' 
af_materiel_command:: NNP NE;org 'air_force_materiel_command' 
af_medical_operations_agency:: NNP NE;org 'air_force_medical_operations_agency' 
af_medical_support_agency:: NNP NE;org 'air_force_medical_support_agency' 
af_news_agency:: NNP NE;org 'air_force_news_agency' 
af_office_of_scientific_research:: NNP NE;org 'air_force_office_of_scientific_research' 
af_office_of_special_investigations:: NNP NE;org 'air_force_office_of_special_investigations' 
af_office_of_survivor_assistance:: NNP NE;org 'air_force_office_of_survivor_assistance' 
af_personnel:: NNP NE;org 'air_force_personnel_center' 
af_real_property_agency:: NNP NE;org 'air_force_real_property_agency' 
af_research_laboratory:: NNP NE;org 'air_force_research_laboratory' 
af_reserve_command:: NNP NE;org 'air_force_reserve_command' 
af_reserve_officer_training_corps:: NNP NE;org 'air_force_reserve_officer_training_corps' 
af_reserve_personnel_center:: NNP NE;org 'air_force_reserve_personnel_center' 
af_safety_center:: NNP NE;org 'air_force_safety_center' 
afc_ajax:: NNP NE;com 'ajax_amsterdam' 
affiliated_computer_services:: NNP NE;com 'affiliated_computer' 
affiliated_computers:: NNP NE;com 'affiliated_computer' 
affiliated_services:: NNP NE;com 'affiliated_computer' 
african_defence_systems:: NNP NE;com 'thales' 
aftermarket_tech:: NNP NE;com 'aftermarket_technology' 
aftermarket_technologies:: NNP NE;com 'aftermarket_technology' 
agency_for_modeling_and_simulation:: NNP NE;org 'air_force_agency_for_modeling_and_simulation' 
agilent_tech:: NNP NE;com 'agilent_technologies' 
agilent_technology:: NNP NE;com 'agilent_technologies' 
agri_solution:: NNP NE;com 'advanced_agri-solutions' 
agri_solutions:: NNP NE;com 'advanced_agri-solutions' 
agricultural_labor_affairs:: NNP NE;org 'agricultural_labor_affairs_coordinator' 
agricultural_marketing:: NNP NE;org 'agricultural_marketing_service' 
agricultural_research:: NNP NE;org 'agricultural_research_service' 
agrium_advanced:: NNP NE;com 'agrium_advanced_technologies' 
agrium_advanced_tech:: NNP NE;com 'agrium_advanced_technologies' 
agrium_advanced_technology:: NNP NE;com 'agrium_advanced_technologies' 
